time,marker,data_1,data_2,data_3
1665273081.0238252,1,-016347, -001078, -000442
1665273081.036823,1,-016347, -001078, -000442
1665273081.0388205,1,-016366, -001119, -000431
1665273081.0407755,1,-016366, -001119, -000431
1665273081.0419507,1,-016334, -001079, -000497
1665273081.04295,1,-016347, -001078, -000442
1665273081.043946,1,-016347, -001078, -000442
1665273081.0449443,1,-016347, -001078, -000442
1665273081.0459428,1,-016366, -001119, -000431
1665273081.046937,1,-016366, -001119, -000431
1665273081.0478947,1,-016367, -001089, -000445
1665273081.050911,1,-016367, -001089, -000445
1665273081.0518873,1,-016367, -001089, -000445
1665273081.0528843,1,-016367, -001089, -000445
1665273081.0538776,1,-016327, -001124, -000419
1665273081.0558765,1,-016327, -001124, -000419
1665273081.056871,1,-016327, -001124, -000419
1665273081.056871,1,-016327, -001124, -000419
1665273081.0578675,1,-016322, -001094, -000397
1665273081.0588663,1,-016322, -001094, -000397
1665273081.0598907,1,-016322, -001094, -000397
1665273081.0598907,1,-016322, -001094, -000397
1665273081.060859,1,-016322, -001094, -000397
1665273081.061885,1,-016313, -001111, -000384
1665273081.061885,1,-016313, -001111, -000384
1665273081.0626473,1,-016313, -001111, -000384
1665273081.0636265,1,-016313, -001111, -000384
1665273081.0638795,1,-016342, -001061, -000390
1665273081.0646238,1,-016342, -001061, -000390
1665273081.0656211,1,-016342, -001061, -000390
1665273081.0656211,1,-016342, -001061, -000390
1665273081.0666187,1,-016373, -001076, -000356
1665273081.0666187,1,-016373, -001076, -000356
1665273081.0676172,1,-016373, -001076, -000356
1665273081.068615,1,-016373, -001076, -000356
1665273081.068615,1,-016354, -001080, -000443
1665273081.069612,1,-016354, -001080, -000443
1665273081.0706093,1,-016354, -001080, -000443
1665273081.0716057,1,-016354, -001080, -000443
1665273081.071692,1,-016341, -001114, -000427
1665273081.0726025,1,-016341, -001114, -000427
1665273081.0726025,1,-016341, -001114, -000427
1665273081.0726025,1,-016341, -001114, -000427
1665273081.0735996,1,-016341, -001114, -000427
1665273081.0735996,1,-016338, -001047, -000482
1665273081.074597,1,-016338, -001047, -000482
1665273081.074597,1,-016338, -001047, -000482
1665273081.0755942,1,-016338, -001047, -000482
1665273081.0755942,1,-016336, -001070, -000406
1665273081.0755942,1,-016336, -001070, -000406
1665273081.0765917,1,-016336, -001070, -000406
